title,series,remakes,year,mpaa,runtime,language,director,firstCredit,secondCredit,imdbRating,rtRating,metaRating,action,adventure,animation,biography,comedy,crime,documentary,drama,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,western
Baby Driver,NA,NA,2017,R,115,English,Edgar Wright,Ansel Elgort,Jon Bernthal,0.76,0.92,0.86,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Lion,NA,NA,2016,PG-13,129,English,Garth Davis,Dev Patel,Nicole Kidman,0.8,0.84,0.69,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Despicable Me 3,Despicable Me,NA,2017,PG,95,English,Pierre Coffin,Steve Carell,Kristen Wiig,0.63,0.58,0.49,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cars 3,Cars,NA,2017,G,109,English,Brian Fee,Owen Wilson,Cristela Alonzo,0.67,0.7,0.59,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black,Men in Black,NA,1997,PG-13,108,English,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,0.73,0.92,0.71,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black 2,Men in Black,NA,2002,PG-13,90,English,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,0.62,0.39,0.49,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black 3,Men in Black,NA,2012,PG-13,106,English,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,0.68,0.68,0.58,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Breakfast Club,NA,NA,1985,R,97,English,John Hughes,Emilio Estevez,Judd Nelson,0.78,0.89,0.66,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fight Club,NA,NA,1999,R,151,English,David Fincher,Brad Pitt,Edward Norton,0.88,0.79,0.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Matrix,The Matrix,NA,1999,R,150,English,The Wachowskis,Keanu Reeves,Laurence Fishburne,0.87,0.88,0.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Matrix Reloaded,The Matrix,NA,2003,R,138,English,The Wachowskis,Keanu Reeves,Laurence Fishburne,0.72,0.73,0.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Matrix Revolutions,The Matrix,NA,2003,R,129,English,The Wachowskis,Keanu Reeves,Laurence Fishburne,0.68,0.35,0.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Everybody Loves Somebody,NA,NA,2017,PG-13,102,Spanish,Catalina Aguilar Mastretta,Karla Souza,Jose Maria Yazpik,0.65,0.89,0.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Heat,NA,NA,1995,R,172,English,Michael Mann,Al Pacino,Robert De Niro,0.82,0.87,0.76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
21,NA,NA,2008,PG-13,123,English,Robert Luketic,Jim Sturgess,Kate Bosworth,0.68,0.35,0.48,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Concussion,NA,NA,2015,PG-13,123,English,Peter Landesman,Will Smith,Alec Baldwin,0.71,0.59,0.55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mad Max,Mad Max,NA,1979,R,95,English,George Miller,Mel Gibson,Joanne Samuel,0.69,0.9,0.73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rush Hour,Rush Hour,NA,1998,PG-13,98,English,Brett Ratner,Jackie Chan,Chris Tucker,0.7,0.61,0.6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat,NA,2006,R,96,English,Larry Charles,Sacha Baron Cohen,Ken Davitian,0.73,0.91,0.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drive,NA,NA,2011,R,95,English,Nicholas Winding Refn,Ryan Gosling,Carey Mulligan,0.78,0.92,0.78,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bad Boys,Bad Boys,NA,1995,R,119,English,Michael Bay,Will Smith,Martin Lawrence,0.69,0.42,0.41,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Straight Outta Compton,NA,NA,2015,R,167,English,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,0.78,0.89,0.72,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
